cycle,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
cReq_st1_v,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
cReq_st1_wid,4294967295,15,13,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,12
cRsp_st2_v,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
cRsp_st2_wid,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,13,20,12,12,12,12,12,12,12,12,12
mRsp_st1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
mRsp_st2_d_source,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,5,5,5,5,5,5,5,5,5,5,5,5,5
cReq_v,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
cReq_op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cReq_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cReq_wid,15,13,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
cReq_id,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
cReq_block_idx,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cReq_block_offset_0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
cReq_mask_0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cReq_mask_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cReq_data_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cRsp_v,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
cRsp_wid,0,0,0,0,0,0,0,0,0,15,13,20,12,0,0,0,0,0,0,0
cRsp_id,0,0,0,0,0,0,0,0,0,5,6,7,8,0,0,0,0,0,0,0
cRsp_mask_0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
cRsp_wxd,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
cRsp_data_0,0,0,0,0,0,0,0,0,0,220,220,220,220,0,0,0,0,0,0,0
d_v,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x
d_op,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x
d_source,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x
d_mask_0,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x
d_mask_1,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x
d_data_0,x,x,x,x,x,x,200,x,x,x,x,x,x,x,x,x,x,x,x,x
a_v,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_op,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_param,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_source,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_addr,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_mask_0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_mask_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
